City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,brevard,28.292,-80.7492,13.32,79,100,5.14,US,1703907897
299,eydhafushi,5.1033,73.0708,27.05,83,89,8.19,MV,1703907898
300,jos,9.9167,8.9,15.21,36,7,1.65,NG,1703907898
301,guacimo,10.2104,-83.6807,26.77,95,100,1.24,CR,1703907898
302,kitimat,54.0524,-128.6534,4.82,65,100,1.32,CA,1703907899
303,dunedin,-45.8742,170.5036,12.67,91,71,1.79,NZ,1703907898
304,smara,26.7384,-11.6719,14.96,19,12,3.1,EH,1703907899
305,kasongo-lunda,-6.4667,16.8167,20.77,99,100,0.43,CD,1703907900
306,egilsstadir,65.2653,-14.3948,-9.05,92,75,1.03,IS,1703907900
307,cambria,35.5641,-121.0808,16.53,94,100,2.68,US,1703907900
308,zhezqazghan,47.7833,67.7667,-4.68,80,100,11.0,KZ,1703907901
309,yima,34.7381,111.8839,9.3,36,0,8.6,CN,1703907860
310,neryungri,56.6709,124.6491,-29.08,98,81,0.41,RU,1703907637
311,turtas,58.9417,69.1325,-7.94,92,100,8.04,RU,1703907904
312,san sebastian de la gomera,28.0916,-17.1133,23.2,12,0,2.06,ES,1703907904
313,ponta delgada,37.7333,-25.6667,16.4,63,40,4.12,PT,1703907905
314,san andres,12.5847,-81.7006,27.01,83,40,3.09,CO,1703907905
315,muang phonsavan,19.45,103.2167,23.82,43,37,0.27,LA,1703907906
316,belabo,4.9333,13.3,17.73,38,96,0.67,CM,1703907906
317,goz beida,13.95,20.55,18.13,22,2,3.15,TD,1703907907
318,necochea,-38.5473,-58.7368,12.86,63,35,5.56,AR,1703907907
319,sheregesh,52.9209,87.9869,-6.69,96,95,1.48,RU,1703907908
320,hailey,43.5196,-114.3153,1.29,77,0,4.02,US,1703907908
321,rikaze,29.25,88.8833,0.12,10,0,0.3,CN,1703907909
322,lhokseumawe,5.1801,97.1507,26.57,86,98,1.81,ID,1703907808
323,las heras,-46.5419,-68.9359,17.01,45,6,3.84,AR,1703907909
324,wladyslawowo,54.7909,18.4009,7.19,82,100,7.46,PL,1703907910
325,queenstown,-31.8976,26.8753,18.03,82,90,1.07,ZA,1703907366
326,akjoujt,19.6969,-14.4164,19.78,12,51,4.09,MR,1703907910
327,muynoq,43.7683,59.0214,1.68,70,41,5.44,UZ,1703907911
328,pleiku,13.9833,108.0,27.92,48,76,2.99,VN,1703907803
329,worland,44.0169,-107.9554,-0.75,72,0,4.12,US,1703907911
330,dyurtyuli,55.4911,54.8688,-18.41,100,76,1.96,RU,1703907912
331,nuku'alofa,-21.1333,-175.2,29.19,70,20,6.69,TO,1703907912
332,afaahiti,-17.75,-149.2833,28.93,79,100,2.29,PF,1703907913
333,ambodifotatra,-16.9833,49.85,26.03,94,75,1.03,MG,1703907913
334,quang ngai,15.1167,108.8,25.29,84,94,2.37,VN,1703907914
335,lihue,21.9789,-159.3672,25.58,76,27,3.89,US,1703907914
336,quellon,-43.1167,-73.6167,9.68,93,2,3.4,CL,1703907915
337,pavlovka,52.6897,47.1405,0.68,96,100,4.22,RU,1703907915
338,port pirie,-33.1833,138.0167,21.85,48,0,8.32,AU,1703907916
339,usogorsk,63.4106,48.6872,-18.52,99,100,1.6,RU,1703907917
340,margate,51.3813,1.3862,6.6,85,100,2.68,GB,1703907917
341,kongwa,-6.2,36.4167,20.67,88,99,0.74,TZ,1703907918
342,paraiso,9.8383,-83.8656,19.12,96,100,1.18,CR,1703907918
343,iskateley,67.6803,53.1512,-16.1,97,99,4.02,RU,1703907919
344,bahia blanca,-38.7196,-62.2724,14.62,58,4,2.81,AR,1703907920
345,ulanhot,46.0833,122.0833,-12.71,89,100,6.1,CN,1703907921
346,kununurra,-15.7667,128.7333,39.99,37,72,2.06,AU,1703907921
347,chonchi,-42.6128,-73.8092,13.56,84,1,1.75,CL,1703907922
348,ketchikan,55.3422,-131.6461,11.99,82,100,5.14,US,1703907923
349,puerto baquerizo moreno,-0.9,-89.6,23.86,89,33,3.85,EC,1703907924
350,forde,61.4522,5.8572,2.06,80,40,1.03,NO,1703907925
351,darovskoy,58.77,47.9564,-25.54,100,100,0.07,RU,1703907926
352,georgetown,5.4112,100.3354,28.3,81,40,2.57,MY,1703907143
353,tura,25.5198,90.2201,23.0,50,0,0.4,IN,1703907927
354,plastun,44.7561,136.2939,-3.48,54,90,2.42,RU,1703907927
355,puerto deseado,-47.7503,-65.8938,11.86,62,99,5.92,AR,1703907928
356,el hamma,33.8915,9.7963,8.62,88,100,1.23,TN,1703907928
357,bamboo flat,11.7,92.7167,30.05,70,40,5.66,IN,1703907930
358,ulan bator,47.9077,106.8832,-10.93,79,40,1.0,MN,1703907719
359,nuuk,64.1835,-51.7216,-9.66,73,6,5.14,GL,1703907931
360,north battleford,52.7834,-108.2847,-10.95,92,0,0.0,CA,1703907931
361,magadan,59.5667,150.8,-25.35,80,93,4.08,RU,1703907640
